real_index,real_file,local_realshot_path,source_id,original_id,dataset_image_id,fixed_split,confidence,homography_inliers,good_matches
1,微信图片_20260704182158_21_1.jpg,data/eval/realshot_images/realshot_01_0003.jpg,mendeley_bilingual_1000,0003,rx_mendeley_bilingual_1000_0003,eval,high,251,268
2,微信图片_20260704182214_22_1.jpg,data/eval/realshot_images/realshot_02_0016.jpg,mendeley_bilingual_1000,0016,rx_mendeley_bilingual_1000_0016,train,medium,198,220
3,微信图片_20260704182222_23_1.jpg,data/eval/realshot_images/realshot_03_0012.jpg,mendeley_bilingual_1000,0012,rx_mendeley_bilingual_1000_0012,eval,high,152,165
4,微信图片_20260704182250_24_1.jpg,data/eval/realshot_images/realshot_04_0019.jpg,mendeley_bilingual_1000,0019,rx_mendeley_bilingual_1000_0019,eval,medium,79,93
5,微信图片_20260704182307_25_1.jpg,data/eval/realshot_images/realshot_05_0020.jpg,mendeley_bilingual_1000,0020,rx_mendeley_bilingual_1000_0020,eval,high,212,232
6,微信图片_20260704182318_26_1.jpg,data/eval/realshot_images/realshot_06_0026.jpg,mendeley_bilingual_1000,0026,rx_mendeley_bilingual_1000_0026,eval,high,56,69
7,微信图片_20260704182323_27_1.jpg,data/eval/realshot_images/realshot_07_0025.jpg,mendeley_bilingual_1000,0025,rx_mendeley_bilingual_1000_0025,eval,high,131,146
8,微信图片_20260704182333_28_1.jpg,data/eval/realshot_images/realshot_08_0033.jpg,mendeley_bilingual_1000,0033,rx_mendeley_bilingual_1000_0033,eval,high,515,548
9,微信图片_20260704182339_29_1.jpg,data/eval/realshot_images/realshot_09_0035.jpg,mendeley_bilingual_1000,0035,rx_mendeley_bilingual_1000_0035,eval,high,239,256
10,微信图片_20260704182351_30_1.jpg,data/eval/realshot_images/realshot_10_0050.jpg,mendeley_bilingual_1000,0050,rx_mendeley_bilingual_1000_0050,eval,high,391,415
11,微信图片_20260704182400_31_1.jpg,data/eval/realshot_images/realshot_11_0266.jpg,mendeley_bilingual_1000,0266,rx_mendeley_bilingual_1000_0266,eval,high,82,99
12,微信图片_20260704182414_32_1.jpg,data/eval/realshot_images/realshot_12_0269.jpg,mendeley_bilingual_1000,0269,rx_mendeley_bilingual_1000_0269,eval,high,459,475
13,微信图片_20260704182422_33_1.jpg,data/eval/realshot_images/realshot_13_0270.jpg,mendeley_bilingual_1000,0270,rx_mendeley_bilingual_1000_0270,eval,high,276,289
14,微信图片_20260704182435_34_1.jpg,data/eval/realshot_images/realshot_14_0272.jpg,mendeley_bilingual_1000,0272,rx_mendeley_bilingual_1000_0272,eval,high,138,169
15,微信图片_20260704182446_35_1.jpg,data/eval/realshot_images/realshot_15_0281.jpg,mendeley_bilingual_1000,0281,rx_mendeley_bilingual_1000_0281,eval,high,347,381
16,微信图片_20260704182502_36_1.jpg,data/eval/realshot_images/realshot_16_0297.jpg,mendeley_bilingual_1000,0297,rx_mendeley_bilingual_1000_0297,train,medium,87,156
17,微信图片_20260704182512_37_1.jpg,data/eval/realshot_images/realshot_17_0289.jpg,mendeley_bilingual_1000,0289,rx_mendeley_bilingual_1000_0289,eval,high,131,149
18,微信图片_20260704182524_38_1.jpg,data/eval/realshot_images/realshot_18_0309.jpg,mendeley_bilingual_1000,0309,rx_mendeley_bilingual_1000_0309,eval,high,104,159
19,微信图片_20260704182535_39_1.jpg,data/eval/realshot_images/realshot_19_0291.jpg,mendeley_bilingual_1000,0291,rx_mendeley_bilingual_1000_0291,eval,high,155,189
20,微信图片_20260704182542_40_1.jpg,data/eval/realshot_images/realshot_20_0312.jpg,mendeley_bilingual_1000,0312,rx_mendeley_bilingual_1000_0312,eval,high,126,190
